Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP
2021-01-04,金山办公,EQ,411.2,411.2,435.3,406.0,420.0,420.0,420.43333333333334
2021-01-05,金山办公,EQ,420.0,414.32,419.32,401.05,407.51,407.51,409.29333333333335
2021-01-06,金山办公,EQ,407.51,407.48,418.97,394.05,397.96,397.96,403.66
2021-01-07,金山办公,EQ,397.96,397.42,400.88,383.32,398.71,398.71,394.30333333333334
2021-01-08,金山办公,EQ,398.71,403.0,407.9,395.84,399.6,399.6,401.1133333333334
2021-01-11,金山办公,EQ,399.6,398.99,411.99,390.0,404.06,404.06,402.01666666666665
2021-01-12,金山办公,EQ,404.06,399.5,410.0,394.97,406.5,406.5,403.8233333333333
2021-01-13,金山办公,EQ,406.5,405.58,406.0,384.75,394.01,394.01,394.92
2021-01-14,金山办公,EQ,394.01,390.0,420.0,386.9,401.2,401.2,402.7
2021-01-15,金山办公,EQ,401.2,397.98,417.79,393.0,414.96,414.96,408.5833333333333
2021-01-18,金山办公,EQ,414.96,415.3,478.8,408.3,460.0,460.0,449.0333333333333
2021-01-19,金山办公,EQ,460.0,451.5,454.6,424.0,428.55,428.55,435.7166666666667
2021-01-20,金山办公,EQ,428.55,434.99,464.0,428.62,460.8,460.8,451.14000000000004
2021-01-21,金山办公,EQ,460.8,460.8,474.4,450.55,469.1,469.1,464.6833333333334
2021-01-22,金山办公,EQ,469.1,461.33,493.0,447.0,491.77,491.77,477.25666666666666
2021-01-25,金山办公,EQ,491.77,490.0,521.0,480.95,485.0,485.0,495.65000000000003
2021-01-26,金山办公,EQ,485.0,484.5,484.5,450.1,450.35,450.35,461.65000000000003
2021-01-27,金山办公,EQ,450.35,454.89,459.0,428.3,433.99,433.99,440.43
2021-01-28,金山办公,EQ,433.99,428.0,435.0,406.0,412.0,412.0,417.6666666666667
2021-01-29,金山办公,EQ,412.0,420.99,432.17,412.01,415.0,415.0,419.7266666666667
2021-02-01,金山办公,EQ,415.0,416.0,429.0,411.1,414.0,414.0,418.0333333333333
2021-02-02,金山办公,EQ,414.0,411.1,424.99,411.0,420.6,420.6,418.8633333333334
2021-02-03,金山办公,EQ,420.6,420.0,458.88,419.0,446.49,446.49,441.45666666666665
2021-02-04,金山办公,EQ,446.49,439.0,440.0,415.0,419.65,419.65,424.8833333333334
2021-02-05,金山办公,EQ,419.65,423.0,430.0,415.0,420.96,420.96,421.9866666666667
2021-02-08,金山办公,EQ,420.96,420.0,420.0,393.0,408.0,408.0,407.0
2021-02-09,金山办公,EQ,408.0,408.0,428.0,400.01,424.0,424.0,417.33666666666664
2021-02-10,金山办公,EQ,424.0,419.91,432.2,407.0,422.22,422.22,420.47333333333336
